picnicgrove_id,preserve_name,grove,capacity,large_capacity,grove_type,location,accessible,parking_to_shelter,shelter_to_bathroom,bathroom_type,poi_info_id
"257",Schiller Woods-East,"13","300",no,shelter,"City of Chicago, IL","0",,,,"221"
"258",Dan Ryan Woods-North,"16","150",no,shelter,"City of Chicago, IL","0",,,,"311"
"259",Dan Ryan Woods-North,"15","150",no,shelter,"City of Chicago, IL","0",,,,"311"
"260",Dan Ryan Woods-Central,"1","250",no,shelter,"City of Chicago, IL","0",,,,"193"
"261",Dan Ryan Woods-Central,"2","350",no,shelter,"City of Chicago, IL","0",,,,"193"
"262",Dan Ryan Woods-Central,"4","350",no,shelter,"City of Chicago, IL","0",,,,"193"
"263",Dan Ryan Woods-Central,"3","250",no,shelter,"City of Chicago, IL","0",,,,"193"
"264",Dan Ryan Woods-Central,"5","100",no,shelter,"City of Chicago, IL","1","175","760",indoor,"193"
"265",Dan Ryan Woods-Central,"10","250",no,shelter,"City of Chicago, IL","1","160","620",indoor,"193"
"266",Dan Ryan Woods-South,"11","100",no,shelter,"City of Chicago, IL","0",,,,"13"
"267",Eggers Grove,"3","350",no,shelter,"City of Chicago, IL","0",,,,"315"
"268",Eggers Grove,"1","399",no,shelter,"City of Chicago, IL","0",,,,"315"
"269",Joe Orr Woods,"1","300",no,shelter,"City of Chicago Heights, IL","0",,,,"166"
"270",Andrew Toman Grove,"1","300",no,shelter,"Village of  North Riverside, IL","0",,,,"389"
"271",McCormick Woods,"1","200",no,shelter,"Village of  North Riverside, IL","0",,,,"240"
"272",Irene C. Hernandez Family Picnic Area,"1","75",no,shelter,,"1","255","270",indoor,"375"
"273",National Grove-North,"3","200",no,shelter,"Village of  North Riverside, IL","1","550","46",portable,"353"
"274",National Grove-South,"1","350",no,shelter,"Village of  North Riverside, IL","0",,,,"241"
"275",Harms Woods-North,"5","300",no,shelter,"Niles Twp, IL","1","375","340",indoor,"271"
"276",Harms Woods-Central,"3","300",no,shelter,"Niles Twp, IL","0",,,,"272"
"277",Harms Woods-South,"1","300",no,shelter,"Niles Twp, IL","0",,,,"273"
"278",Calumet Woods,"1","200",no,shelter,"Village of Riverdale, IL","0",,,,"144"
"279",Erickson Woods,"1","200",no,shelter,"New Trier Twp, IL","0",,,,"268"
"281",Busse Forest Main Dam,"27","300",no,shelter,"Village of Elk Grove Village, IL","0",,,,"186"
"282",Glenwood Woods-South,"2","300",no,shelter,"Village of Glenwood, IL","0",,,,"161"
"283",Glenwood Woods-North,"1","100",no,shelter,"Village of Glenwood, IL","0",,,,"160"
"284",Brookfield Woods,"1","200",no,shelter,"Village of Brookfield, IL","1","135","82",portable,"243"
"285",Jerome Huppert Woods,"1","100",no,shelter,,"0",,,,"228"
"286",Busse Forest-South,"14","100",yes,no shelter,"Elk Grove Village, IL","0",,,,"31"
"287",Busse Forest-South,"15","150",yes,no shelter,"Elk Grove Village, IL","0",,,,"31"
"288",Busse Forest-South,"16","100",yes,no shelter,"Elk Grove Village, IL","0",,,,"31"
"289",Beaubien Woods,"1","150",no,shelter,"City of Chicago, IL","1","110","35",portable,"147"
"290",Sauk Trail Woods-East,"2","100",no,no shelter,"Village of South Chicago Heights, IL","0",,,,"167"
"291",Dan Ryan Woods Visitor Center,"7","100",no,no shelter,"City of Chicago, IL","0",,,,"313"
"292",Dan Ryan Woods Visitor Center,"8","100",no,no shelter,"City of Chicago, IL","0",,,,"313"
"293",Dan Ryan Woods-East,"13","200",no,no shelter,"City of Chicago, IL","0",,,,"312"
"294",Dan Ryan Woods-East,"14","200",no,no shelter,"City of Chicago, IL","0",,,,"312"
"295",Dan Ryan Woods-South,"12","100",no,no shelter,"City of Chicago, IL","0",,,,"13"
"296",Kickapoo Woods,"1","0",no,shelter,"Riverdale, IL","0",,,,"145"
"297",Westchester Woods,"1","150",no,no shelter,"Westchester, IL","0",,,,"42"
"299",Dan Ryan Woods-91st Street,"1","150",no,no shelter,"Chicago, IL","0",,,,"314"
